"DATA AS OF","DEVELOPMENT","HUD AMP#","TDS#","CONSOLIDATED TDS#","DEVELOPMENT EDP#","OPERATING EDP#","HUD #","PROGRAM","METHOD","TYPE","NUMBER OF SECTION 8 TRANSITION APARTMENTS","NUMBER OF CURRENT APARTMENTS","TOTAL NUMBER OF APARTMENTS","NUMBER OF RENTAL ROOMS","AVG NO R/R PER APARTMENT","POPULATION SECTION 8 TRANSITION","POPULATION PUBLIC HOUSING","TOTAL POPULATION","TOTAL # OF FIXED INCOME HOUSEHOLD","PERCENT FIXED INCOME HOUSEHOLDS","NUMBER OF RESIDENTIAL BLDGS","NUMBER OF NON-RESIDENTIAL BLDGS","NUMBER OF STAIRHALLS","NUMBER OF STORIES","TOTAL AREA SQ FT","ACRES","NET DEV AREA SQ FT","EXCLUDING PARK ACRES","BLDG COVERAGE SQ FT","CUBAGE CU FT","BLDG COVERAGE %","DENSITY","DEVELOPMENT COST","PER RENTAL ROOM","AVG MONTHLY GROSS RENT","LOCATION STREET A","LOCATION STREET B","LOCATION STREET C","LOCATION STREET D","BOROUGH","COMMUNITY DISTIRCT","US CONGRESSIONAL DISTRICT","NY STATE SENATE DISTRICT","NY STATE ASSEMBLY DISTRICT","NY CITY COUNCIL DISTRICT","COMPLETION DATE","FEDERALIZED DEVELOPMENT","SENIOR DEVELOPMENT","ELECTRICITY PAID BY RESIDENTS","PRIVATE MANAGEMENT","RAD TRANSFERRED DATE"
"1/1/2025","572 WARREN STREET","NY005011630","196","163","307","272","NY005103","FEDERAL","TURNKEY","NEW CONST",,"200","200","787.0","4.10",,,"382",,,"1","1","2","6","82,610.4","1.90","81,700","1.88","28,530","1,726,301","34.92%","201","$5,984,598","$7,116","$492","WARREN ST","BALTIC ST","THIRD AVE","FOURTH AVE","BROOKLYN","6","10","26","52","39","1972-08-31T00:00:00.000",,,,,"02/12/2020"
"1/1/2025","830 AMSTERDAM AVENUE","NY005010820","150","082","258","258","NY005059","FEDERAL","CONVENTIONAL","NEW CONST","0","158","159","722.0","4.57","0","330","330","61","0.3885","1","0","1","20","30,343.0","0.70","28,690","0.66","7,750","1,375,740","27.01%","474","$3,631,814","$4,992","$675","W 101ST ST","AMSTERDAM AVE","W 100TH ST",,"MANHATTAN","7","12","30","69","07","1965-08-31T00:00:00.000",,,,,
"1/1/2025","ADAMS","NY005001180","118","118","248","248","NY005049","FEDERAL","CONVENTIONAL","NEW CONST","0","919","925","4,280.5","4.66","0","2,012","2,012","394","0.4477","7","0","7","15–21","407,671.6","9.36","383,068","8.79","56,283","8,181,502","13.76%","215","$17,878,818","$4,149","$608","WESTCHESTER AVE","UNION AVE","E 152ND ST",,"BRONX","1","14","29","84","08","1964-08-31T00:00:00.000",,,,,
"1/1/2025","ALBANY","NY005010310","031","031","524","524","NY005216C","FEDERAL","CONVENTIONAL","NEW CONST","0","812","829","3,735.0","4.60","0","1,645","1,645","314","0.4078","6","0","6","14","388,541.9","8.92","388,389","8.92","58,455","7,082,630","15.05%","184","$8,951,000","$2,356","$642","ALBANY AVE","SAINT MARKS AVE","TROY AVE","PARK PL","BROOKLYN","8","09","20","43","36","1950-10-14T00:00:00.000","1978/02/01-ATP 2",,,,
"1/1/2025","ALBANY II","NY005010310","085","031","524","524","NY005216C","FEDERAL","CONVENTIONAL","NEW CONST","0","396","400","1,833.0","4.63","0","841","841","154","0.414","3","0","3","13–14","215,274.8","4.94","214,594","4.93","26,053","3,249,689","12.14%","170","$4,666,000","$2,540","$603","BERGEN ST","TROY AVE","ALBANY HOUSES","ALBANY AVE","BROOKLYN","8","09","20","56","36","1957-02-07T00:00:00.000","1978/02/01-ATP 2",,,,
"1/1/2025","AMSTERDAM","NY005010220","022","022","530","530","NY005220A","FEDERAL","CONVENTIONAL","NEW CONST","0","1,084","1,084","5,129.0","4.73","0","2,055","2,055","445","0.432","13","0","24","6–13","417,271.0","9.58","413,534","9.49","100,358","8,233,310","22.49%","215","$12,262,000","$2,391","$653","W 61ST ST","W 64TH ST","WEST END AVE","AMSTERDAM AVE","MANHATTAN","7","12","47","67","06","1948-12-17T00:00:00.000","1978/07/01-ATP 3",,,,
"1/1/2025","AMSTERDAM ADDITION","NY005021870","187","022","453","453","NY005366","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","26","174","175","759.0","4.36","48","265","313","90","0.5488","1","0","1","27","37,855.0","0.87","36,154","0.83","17,562","1,825,587","48.58%","360","$7,053,000","$9,250","$599","W 64TH ST","W 65TH ST","AMSTERDAM AVE","WEST END AVE","MANHATTAN","7","12","47","67","06","1974-01-31T00:00:00.000",,,,,
"1/1/2025","ARMSTRONG I","NY005012100","210","210","325","325","NY005120","FEDERAL","CONVENTIONAL","NEW CONST",,"369","371","1,756.0","4.77",,,"1,044",,,"11","1","58","3-4-6","252,400.0","5.79","245,481","5.64","94,311","4,800,020","38.42%","180","$14,648,872","$8,129","$487","CLIFTON PL","MARCY AVE","GATES AVE","BEDFORD AVE","BROOKLYN","3","08","25","56, 57","36","1973-05-31T00:00:00.000",,"PARTIALLY",,,"02/12/2020"
"1/1/2025","ARMSTRONG II","NY005012100","228","210","355","325","NY005116","FEDERAL","TURNKEY","NEW CONST",,"248","248","1,268.5","5.14",,,"754",,,"5","1","17","4","176,296.4","4.05","162,118","3.72","67,372","3,123,424","41.56%","186","$7,802,067","$6,114","$522","GREENE AVE","GATES AVE","TOMPKINS AVE","MARCY AVE","BROOKLYN","3","08","25","56","36","1974-10-31T00:00:00.000",,,,,"02/12/2020"
"1/1/2025","ASTORIA","NY005000260","026","026","517","517","NY005213I","FEDERAL","CONVENTIONAL","NEW CONST","0","1,094","1,104","5,562.0","5.08","0","2,601","2,601","399","0.3746","22","1","22","6–7","1,170,203.3","26.86","1,151,484","26.43","173,434","10,826,559","12.33%","97","$14,122,000","$2,519","$726","27TH AVE","8TH ST","HALLET'S COVE","EAST RIVER","QUEENS","1","14","59","36","22","1951-11-09T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","ATLANTIC TERMINAL SITE 4B","NY005011630","256","163","384","272","NY005189","FEDERAL","TURNKEY","NEW CONST","0","299","300","1,237.5","4.14","0","478","478","123","0.4642","1","0","1","31","87,977.1","2.02","88,155","2.02","15,382","2,464,800","17.45%","237","$10,797,972","$8,489","$657","CLERMONT AVE","ATLANTIC AVE","CARLTON AVE","FULTON ST","BROOKLYN","2","08","25","57","35","1976-04-30T00:00:00.000",,,,,
"1/1/2025","AUDUBON","NY005010030","125","003","444","444","NY005365","FEDERAL","CONVENTIONAL","NEW CONST",,"167","168","808.0","4.96","0","460","460","63","0.0038","1","0","1","20","28,838.9","0.66","27,477","0.63","9,043","1,585,892","32.91%","695","$2,817,000","$3,382","$587","W 154TH ST","W 155TH ST","AMSTERDAM AVE",,"MANHATTAN","9","13","30","71","07","1962-04-30T00:00:00.000","1995/07/13-PTA",,,,"01/10/2023"
"1/1/2025","BAILEY AVENUE-WEST 193RD STREET","NY005012020","202","197","311","311","NY005106","FEDERAL","CONVENTIONAL","NEW CONST","0","233","233","980.5","4.21","0","405","405","116","0.5498","1","0","1","20","102,624.1","2.36","99,606","2.29","13,621","1,877,893","13.67%","172","$8,091,156","$8,173","$563","BAILEY AVE","W 193RD ST","HEATH AVE",,"BRONX","7","13","31","86","14","1973-05-31T00:00:00.000",,,,,"06/24/2025"
"1/1/2025","BAISLEY PARK","NY005010910","091","091","240","240","NY005038","FEDERAL","CONVENTIONAL","NEW CONST","0","379","386","1,769.5","4.67","0","884","884","138","0.373","5","1","5","8","322,506.3","7.40","325,713","7.48","54,504","3,529,560","16.73%","119","$5,856,304","$3,246","$694","LIRR","FOCH BLVD","116TH AVE","GUY BREWER BLVD","QUEENS","12","05","10","32","28","1961-04-30T00:00:00.000",,,,,
"1/1/2025","BARUCH","NY005010600","060","060","215","215","NY005012","FEDERAL","CONVENTIONAL","NEW CONST","0","2,174","2,194","10,152.0","4.67","0","4,255","4,255","1,031","0.4983","17","1","34","7–13–14","1,189,764.3","27.31","1,101,503","25.29","160,098","17,784,205","13.38%","156","$36,411,155","$3,553","$619","E HOUSTON ST","FDR DRIVE","DELANCEY ST","COLUMBIA ST","MANHATTAN","3","10","27","74","02","1959-08-06T00:00:00.000",,,,,
"1/1/2025","BARUCH HOUSES ADDITION","NY005010600","198","060","383","215","NY005111","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","195","197","639.5","3.28","0","218","218","160","0.9249","1","0","1","23","20,490.3","0.47","47,204","1.08","6,149","1,268,931","13.03%","463","$6,622,549","$9,907","$383","COLUMBIA ST","DELANCEY ST","E HOUSTON ST","FDR DRIVE","MANHATTAN","3","10","27","74","02","1977-04-30T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","BAY VIEW","NY005020920","092","092","670","670","NY005368","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","340","1,608","1,610","7,306.0","4.54","705","2,436","3,141","619","0.4127","23","2","23","8","1,406,080.7","32.28","1,459,244","33.50","228,305","14,262,296","15.41%","97","$19,575,470","$2,676","$650","SEAVIEW AVE","E 102ND ST","ROCKAWAY PKWY","SHORE PKWY","BROOKLYN","18","08","19","59","46","1956-06-07T00:00:00.000",,,,,
"1/1/2025","BAYCHESTER","NY005021260","126","138","440","440","NY005367","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","127","440","441","1,863.0","4.23","282",,"872",,,"11","1","12","6","358,446.2","8.23","360,248","8.27","66,835","3,759,170","18.55%","106","$8,099,000","$4,339","$421","SCHIEFFELIN AVE","E 225TH ST","E 229TH ST",,"BRONX","12","16","36","83","12","1963-10-31T00:00:00.000",,,,,"12/27/2018"
"1/1/2025","BEACH 41ST STREET-BEACH CHANNEL DRIVE","NY005001650","165","165","282","282","NY005086","FEDERAL","CONVENTIONAL","NEW CONST","0","712","712","3,106.0","4.36","0","1,454","1,454","235","0.3544","4","1","6","13","770,750.8","17.69","580,000","13.31","66,756","6,385,727","11.51%","82","$24,811,000","$7,988","$623","B 38TH ST","B 41ST ST","NORTON AVE","B CHANNEL DR","QUEENS","14","05","10","31","31","1973-11-30T00:00:00.000",,,,,
"1/1/2025","BEDFORD-STUYVESANT REHAB","NY005010730","311","073","266","538","NY005255","FEDERAL","TURNKEY","REHAB","0","84","85","381.0","4.54","0","179","179","36","0.4444","3","0","5","4–6","27,163.2","0.62","26,000","0.60","18,283","856,611","70.32%","287","$5,219,763","$13,316","$607","THROOP AVE","VERNON AVE","MARCUS GARVEY BLVD","HART ST","BROOKLYN","3","08","25","56","36","1983-05-31T00:00:00.000",,,"YES",,
"1/1/2025","BELMONT-SUTTER AREA","NY005010460","345","046","761","761","NY005282","FEDERAL","TURNKEY","NEW CONST",,"72","72","336.0","4.67","0","184","184","18","0.0025","3","0","8","3","77,493.6","1.78","80,000","1.84","24,395","889,912","30.49%","103","$5,373,534","$15,993","$618","BELMONT AVE","JEROME ST","SUTTER AVE","BARBEY ST","BROOKLYN","5","08","19","60","42","1986-02-28T00:00:00.000",,,"YES",,"12/28/2021"
"1/1/2025","BERRY","NY005000520","052","052","587","587","NY005271B","FEDERAL","CONVENTIONAL","NEW CONST","0","506","506","2,129.0","4.21","0","864","864","231","0.5","8","1","16","6","521,035.4","11.96","511,178","11.74","77,152","4,520,277","12.75%","72","$5,929,376","$2,785","$627","RICHMOND RD","DONGAN HILLS AVE","SEAVER AVE","JEFFERSON ST","STATEN ISLAND","2","11","23","64","50","1950-10-27T00:00:00.000","1980/10/01-ATP 7",,,,
"1/1/2025","BERRY STREET-SOUTH 9TH STREET","NY005011310","357","131","777","777","NY005288","FEDERAL","TURNKEY","NEW CONST",,"150","150","711.0","4.74",,,"381",,,"4","0","15","3-6","131,271.2","3.01","129,228","2.97","39,559","1,341,343","30.61%","126","$17,062,418","$23,999","$544","SOUTH 9TH ST","BEDFORD & DIVISION AVES","SOUTH 11TH ST","WYTHE AVE","BROOKLYN","1","07","18","50","34","1995-09-30T00:00:00.000",,,"YES",,"02/12/2020"
"1/1/2025","BETANCES I","NY005012110","211","211","326","326","NY005121","FEDERAL","CONVENTIONAL","NEW CONST",,"309","309","1,410.5","4.56",,,"710",,,"13","0","13","3-4-12-20","135,235.2","3.10","136,173","3.13","40,862","2,587,665","30.01%","229","$8,854,586","$6,216","$465","BROOK AVE","E 144TH ST","SAINT ANN'S AVE","E 143RD ST","BRONX","1","14","29","84","08","1973-05-31T00:00:00.000",,"PARTIALLY",,,"11/16/2018"
"1/1/2025","BETANCES II, 13","NY005010840","518","084","300","294","NY005118B","FEDERAL","TURNKEY","NEW CONST",,"51","51","220.5","4.32",,,"116",,,"1","0","1","6","19,656.2","0.45","52,523","1.21","18,780","621,365","35.76%","257","$1,796,276","$8,055","$397","E 140TH ST","JACKSON AVE","E 139TH ST",,"BRONX","1","14","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES II, 18","NY005011450","519","145","338","249","NY005118C","FEDERAL","TURNKEY","NEW CONST",,"78","78","428.0","5.49",,,"259",,,"2","0","5","4-6","46,104.9","1.06","25,352","0.58","9,348","1,192,594","36.87%","245","$3,447,562","$8,055","$478","WILLIS AVE","E 137TH ST","BROWN PL","E 136TH ST","BRONX","1","14","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES II, 9A","NY005012110","220","211","294","326","NY005118A","FEDERAL","TURNKEY","NEW CONST",,"46","46","208.0","4.52",,,"102",,,"1","0","3","4","22,448.3","0.52","27,140","0.62","15,185","579,478","55.95%","198","$1,675,453","$8,055","$494","E 146TH ST","SAINT ANN'S AVE","E 144TH ST","BROOK AVE","BRONX","1","15","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES III, 13","NY005010840","520","084","356","294","NY005134B","FEDERAL","TURNKEY","REHAB",,"22","22","117.0","5.32",,,"79",,,"2","0","2","5","21,202.0","0.49","12,860","0.29","3,480","479,116","27.06%","162","$867,345","$7,289","$394","E 139TH ST","JACKSON AVE",,,"BRONX","1","14","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES III, 18","NY005011450","521","145","366","249","NY005134C","FEDERAL","TURNKEY","REHAB",,"19","19","77.5","4.08",,,"44",,,"1","0","1","5","13,111.1","0.30","24,894","0.57","17,906","1,348,772","71.93%","146","$2,441,684","$7,289","$412","E 137TH ST","BROWN PL","E 136TH ST","WILLIS AVE","BRONX","1","14","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES III, 9A","NY005012110","222","211","339","326","NY005134A","FEDERAL","TURNKEY","REHAB",,"26","26","143.0","5.50",,,"85",,,"2","0","2","6","11,126.0","0.26","12,013","0.28","7,306","849,526","60.82%","333","$1,537,896","$7,289","$563","E 145TH ST","SAINT ANN'S AVE","E 144TH ST",,"BRONX","1","15","29","84","08","1973-07-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES IV","NY005012110","230","211","349","326","NY005135","FEDERAL","TURNKEY","NEW CONST",,"282","282","1,366.0","4.84",,,"769",,,"8","0","19","3-4-6","175,889.9","4.04","189,526","4.35","74,343","3,694,403","39.23%","190","$10,758,956","$7,853","$501","E 143RD ST","E 147TH ST","WILLIS AVE","SAINT ANN'S AVE","BRONX","1","15","29","84","08","1973-12-31T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES V","NY005012110","231","211","350","326","NY005136","FEDERAL","TURNKEY","REHAB",,"100","100","484.0","4.84",,,"317",,,"6","0","6","5-6","45,433.4","1.04","45,308","1.04","30,557","2,021,785","67.44%","304","$5,877,679","$7,916","$486","E 143RD ST","E 147TH ST","WILLIS AVE","SAINT ANN'S AVE","BRONX","1","15","29","84","08","1974-02-28T00:00:00.000",,,,,"11/16/2018"
"1/1/2025","BETANCES VI","NY005012110","285","211","545","545","NY005217","FEDERAL","CONVENTIONAL","REHAB",,"155","155","726.5","4.69",,,"379",,,"3","2","5","5-6","83,743.1","1.92","56,604","1.30","18,582","993,708","32.83%","197","$10,480,359","$14,337","$516","E 147TH ST","E 146TH ST","SAINT ANN'S AVE","WILLIS AVE","BRONX","1","15","29","84","08","1982-10-31T00:00:00.000",,,"YES",,"11/16/2018"
"1/1/2025","BETHUNE GARDENS","NY005010030","160","003","271","271","NY005070","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"209","210","694.0","3.52","0","250","250","183","0.0089","1","0","1","22","64,915.3","1.49","63,546","1.46","7,751","1,393,115","12.20%","168","$3,785,397","$5,007","$338","W 156TH ST","SAINT NICHOLAS AVE","AMSTERDAM AVE",,"MANHATTAN","12","13","31","71","10","1967-03-31T00:00:00.000",,"EXCLUSIVELY",,,"01/10/2023"
"1/1/2025","BLAND","NY005011860","054","186","519","519","NY005213K","FEDERAL","CONVENTIONAL","NEW CONST","0","399","400","1,850.5","4.64","0","730","730","176","0.4632","5","0","5","10","248,264.3","5.70","245,785","5.64","43,237","3,668,503","16.03%","128","$5,925,000","$3,205","$696","ROOSEVELT AVE","PRINCE ST","COLLEGE POINT BLVD","LIRR","QUEENS","7","06","16","40","20","1952-05-08T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","BORINQUEN PLAZA I","NY005012430","243","243","353","353","NY005175","FEDERAL","TURNKEY","NEW CONST","0","504","509","2,332.0","4.63","0","1,016","1,016","269","0.549","8","2","8","7","261,259.9","6.00","250,875","5.76","96,902","4,544,080","38.63%","169","$15,625,047","$6,556","$636","MANHATTAN AVE","BOERUM ST","BUSHWICK AVE","VARET ST","BROOKLYN","1","07","18","53","34","1975-02-28T00:00:00.000",,"PARTIALLY (2 BUILDINGS)",,,
"1/1/2025","BORINQUEN PLAZA II","NY005012430","271","243","390","353","NY005195","FEDERAL","TURNKEY","NEW CONST","0","421","425","2,245.5","5.33","0","971","971","178","0.4352","7","0","7","7","186,649.6","4.28","184,000","4.22","61,115","4,223,000","33.21%","227","$16,411,918","$7,244","$701","BOERUM ST","HUMBOLDT ST","SEIGEL ST","BUSHWICK AVE","BROOKLYN","1","07","18","53","34","1975-12-31T00:00:00.000",,,,,
"1/1/2025","BOSTON ROAD PLAZA","NY005010390","189","039","304","304","NY005095","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","212","235","744.0","3.51","0","255","255","182","0.8626","1","1","1","20","84,030.8","1.93","84,416","1.94","15,045","1,589,318","17.82%","132","$7,125,145","$8,452","$419","MACE AVE","HOLLAND AVE","WARING AVE","BOSTON RD","BRONX","11","15","33","80","13","1972-08-31T00:00:00.000",,"EXCLUSIVELY",,,"09/26/2024"
"1/1/2025","BOSTON SECOR","NY005011380","138","138","254","254","NY005060","FEDERAL","CONVENTIONAL","NEW CONST","0","509","538","2,356.5","4.63","0","1,182","1,182","190","0.3733","4","2","4","13–14–17–18","616,197.4","14.15","612,889","14.07","36,181","4,849,474","5.90%","84","$11,894,964","$4,778","$621","IRT-DYRE AVE LINE","BOSTON RD","STEENWICK AVE",,"BRONX","12","16","36","83","12","1969-04-30T00:00:00.000",,,,,"09/26/2024"
"1/1/2025","BOULEVARD","NY005020460","046","046","637","637","NY005369","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","458","1,424","1,441","5,952.0","4.21","852","1,759","2,611","610","0.0044","18","0","30","6-14","1,026,328.2","23.56","1,127,650","25.89","170,051","12,141,094","15.08%","111","$13,645,438","$2,247","$543","LINDEN BLVD","ASHFORD ST","WORTMAN AVE","SCHENCK AVE","BROOKLYN","5","08","19","60","42","1951-03-22T00:00:00.000",,,,,"12/28/2021"
"1/1/2025","BOYNTON AVENUE REHAB","NY005010320","346","032","767","533","NY005249","FEDERAL","TURNKEY","REHAB","0","81","82","362.5","4.48","0","165","165","39","0.4815","3","0","3","4–6","30,846.8","0.71","30,000","0.69","16,455","999,600","54.85%","233","$4,943,129","$13,396","$504","WATSON AVE","WARD AVE","BRUCKNER BLVD","ELDER AVE","BRONX","9","14","32","85","18","1985-08-22T00:00:00.000",,,"YES",,
"1/1/2025","BRACETTI PLAZA","NY005012920","264","337","379","370","NY005185","FEDERAL","TURNKEY","NEW CONST","0","107","108","534.5","5.00","0","228","228","58","0.5686","1","0","2","7","45,378.2","1.04","44,353","1.02","18,790","1,216,072","42.36%","219","$4,364,419","$8,008","$654","E 3RD ST","AVENUE C","E 4TH ST","AVENUE B","MANHATTAN","3","10","27","65","02","1974-05-31T00:00:00.000",,,,,
"1/1/2025","BREUKELEN","NY005000560","056","056","212","212","NY005011","FEDERAL","CONVENTIONAL","NEW CONST","0","1,586","1,595","7,435.0","4.69","0","3,169","3,169","600","0.3979","30","2","94","3–7","2,880,657.2","66.13","2,141,741","49.17","360,423","14,297,000","12.73%","48","$18,410,273","$2,464","$667","STANLEY AVE","FLATLANDS AVE","E 103RD ST","WILLIAMS AVE","BROOKLYN","18","08","19","58, 60","42","1952-11-06T00:00:00.000",,,,,
"1/1/2025","BREVOORT","NY005000650","065","065","213","213","NY005017","FEDERAL","CONVENTIONAL","NEW CONST","0","889","896","4,167.5","4.69","0","1,737","1,737","334","0.3888","13","1","26","7","737,986.8","16.94","687,188","15.78","121,363","7,735,916","16.14%","103","$11,831,887","$2,849","$671","BAINBRIDGE ST","RALPH AVE","FULTON ST","PATCHEN AVE","BROOKLYN","3","08","25","56","41","1955-08-10T00:00:00.000",,,,,
"1/1/2025","BRONX RIVER","NY005010320","032","032","533","533","NY005220D","FEDERAL","CONVENTIONAL","NEW CONST","0","1,243","1,246","5,935.5","4.78","0","2,746","2,746","530","0.4435","9","1","9","14","581,608.7","13.35","563,737","12.94","84,235","10,772,413","13.87%","206","$12,719,000","$2,131","$539","BRONX RIVER AVE","HARROD AVE","E 174TH ST",,"BRONX","9","14","32","85","17","1951-02-28T00:00:00.000","1978/07/01-ATP 3",,,,
