year,nycha_development,borough_x,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections,data_as_of,hud_amp#,tds#,consolidated_tds#,development_edp#,operating_edp#,hud_#,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,avg_no_r/r_per_apartment,population_section_8_transition,population_public_housing,total_population,total_#_of_fixed_income_household,percent_fixed_income_households,number_of_residential_bldgs,number_of_non-residential_bldgs,number_of_stairhalls,number_of_stories,total_area_sq_ft,acres,net_dev_area_sq_ft,excluding_park_acres,bldg_coverage_sq_ft,cubage_cu_ft,bldg_coverage_%,density,development_cost,per_rental_room,avg_monthly_gross_rent,location_street_a,location_street_b,location_street_c,location_street_d,borough_y,community_distirct,us_congressional_district,ny_state_senate_district,ny_state_assembly_district,ny_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date,borough,services_per_capita
2024.0,WHITMAN,Unknown,12.0,21.9,70.0,28.0,6.0,5.0,0.0,11.0,0.0,70.0,1/1/2025,NY005005140,514,514,509,509,NY005213A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,653",1659.0,"7,842.5",4.74,0,"3,326",3326.0,629,0.4114,15.0,3.0,32.0,6–13,"787,767.4",18.08,"744,421",17.09,"156,524","9,769,048",19.49%,184.0,"$10,341,328","$1,655",$609,PARK AVE,CARLTON AVE,MYRTLE AVE,SAINT EDWARDS ST,BROOKLYN,2,07,25,57,35,1944-02-24T00:00:00.000,1977/07/01-ATP 1,,,,,BROOKLYN,0.021046301864101023
2024.0,WHITE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010090,124,112,572,539,NY005244E,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,247,248.0,736.5,2.98,0,225,225.0,189,0.9403,1.0,0.0,1.0,20,"35,882.2",0.82,"35,321",0.81,"23,400","1,778,327",66.25%,273.0,"$4,305,000","$5,794",$354,E 104TH ST,SECOND AVE,,,MANHATTAN,11,13,29,68,08,1964-09-30T00:00:00.000,1979/08/01-ATP 4,EXCLUSIVELY,,,,,0.0
2024.0,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010450,246,045,365,368,NY005180,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,148,148.0,485.0,3.28,0,145,145.0,109,0.8583,1.0,0.0,1.0,12,"38,336.9",0.88,"36,563",0.84,"9,609","982,251",26.28%,165.0,"$4,380,000","$8,734",$346,W TREMONT AVE,MONTGOMERY AVE,PALISADE PL,SEDGWICK AVE,BRONX,5,13,31,86,14,1973-07-31T00:00:00.000,,EXCLUSIVELY,,,,BRONX,0.0
2024.0,WEST FARMS SQUARE CONVENTIONAL,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005015310,526,530,481,482,NY005318,FEDERAL,CONVENTIONAL,REHAB,0.0,20,20.0,85.0,4.25,0,44,44.0,4,0.2,1.0,0.0,1.0,5,"5,231.2",0.12,"5,000",0.11,"3,363","202,892",67.26%,366.0,"$1,558,811","$18,339",$625,E 167TH ST,LONGFELLOW AVE,WEST FARMS RD,,BRONX,3,14,32,85,17,1994-06-30T00:00:00.000,,,YES,YES,,BRONX,0.0
2024.0,WEST FARMS ROAD REHAB,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005015300,360,530,780,780,NY005286,FEDERAL,TURNKEY,REHAB,0.0,208,208.0,883.0,4.25,0,427,427.0,72,0.3547,4.0,0.0,7.0,6,"53,482.0",1.23,"51,965",1.19,"34,935","2,104,200",67.23%,348.0,"$14,480,678","$16,399",$620,FREEMAN ST,JENNINGS ST,WEST FARMS RD,LONGFELLOW AVE,BRONX,"2, 3",14,32,85,17,1986-08-13T00:00:00.000,,,YES,YES,,BRONX,0.0
2024.0,WEST BRIGHTON II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010130,175,116,242,209,NY005040,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,69,144.0,239.5,3.47,0,81,81.0,64,0.9275,8.0,0.0,8.0,1,"198,369.7",4.55,"181,770",4.17,"67,228","758,927",36.99%,18.0,"$2,825,000","$6,036",$389,CASTLETON AVE,ALASKA ST,BROADWAY,,STATEN ISLAND,1,11,23,61,49,1965-12-31T00:00:00.000,,EXCLUSIVELY,,,06/26/2024,,0.0
2024.0,WEST BRIGHTON I,Unknown,8.0,30.85,70.0,0.0,0.0,0.0,0.0,25.0,0.0,70.0,1/1/2025,NY005010130,116,116,242,209,NY005040,FEDERAL,CONVENTIONAL,NEW CONST,0.0,455,490.0,"2,190.5",4.81,0,"1,222",1222.0,136,0.2989,8.0,1.0,8.0,8,"341,870.0",7.85,"367,961",8.45,"65,839","4,850,947",17.89%,156.0,"$9,893,117","$4,204",$607,CASTLETON AVE,HENDERSON AVE,ALASKA ST,BROADWAY,STATEN ISLAND,1,11,23,61,49,1962-12-31T00:00:00.000,,,,,06/26/2024,,0.057283142389525366
2024.0,WEEKSVILLE GARDENS,Unknown,0.0,17.31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1/1/2025,NY005010310,229,031,357,357,NY005132,FEDERAL,TURNKEY,NEW CONST,,256,257.0,"1,254.5",5.04,,,793.0,,,2.0,0.0,14.0,4-5,"143,552.1",3.3,"141,365",3.25,"63,228","2,929,695",44.73%,241.0,"$7,871,249","$6,073",$524,PACIFIC ST,SCHENECTADY AVE,DEAN ST,TROY AVE,BROOKLYN,8,09,20,56,36,1974-04-30T00:00:00.000,,,,,02/12/2020,,0.008827238335435058
2024.0,WEBSTER,Unknown,0.0,22.34,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1/1/2025,NY005011410,141,141,231,231,NY005028,FEDERAL,CONVENTIONAL,NEW CONST,0.0,604,606.0,"2,822.0",4.67,0,"1,423",1423.0,227,0.3921,5.0,1.0,5.0,21,"192,810.9",4.43,"197,199",4.53,"31,247","5,322,369",15.85%,321.0,"$12,227,114","$4,319",$597,E 169TH ST,PARK AVE,E 168TH ST,WEBSTER AVE,BRONX,3,15,32,79,16,1965-09-30T00:00:00.000,,,,,,BRONX,0.006324666198172874
2024.0,WASHINGTON HEIGHTS REHAB PHASE IV (D),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013090,331,309,789,341,NY005229,FEDERAL,CONVENTIONAL,REHAB,,32,32.0,132.0,4.13,0,60,60.0,15,0.0048,2.0,0.0,2.0,5,"9,362.8",0.21,"8,743",0.2,"6,127","329,815",70.08%,279.0,"$3,007,393","$22,783",$578,W 176TH ST,AMSTERDAM AVE,,AUDUBON AVE,MANHATTAN,12,13,31,72,10,1990-07-01T00:00:00.000,,,YES,,11/30/2020,,0.0
2024.0,WASHINGTON HEIGHTS REHAB PHASE IV (C),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013090,330,309,788,341,NY005228,FEDERAL,CONVENTIONAL,REHAB,,32,32.0,129.0,4.03,0,67,67.0,18,0.0056,2.0,0.0,2.0,5,"9,027.5",0.21,"8,593",0.2,"6,012","323,625",69.96%,323.0,"$3,052,119","$23,660",$514,W 176TH ST,AMSTERDAM AVE,W 177TH ST,AUDUBON AVE,MANHATTAN,12,13,31,72,10,1990-10-01T00:00:00.000,,,YES,,11/30/2020,,0.0
2024.0,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010030,329,003,382,754,NY005284A,FEDERAL,TURNKEY,REHAB,,14,14.0,63.0,4.5,0,30,30.0,7,0.005,1.0,0.0,1.0,5,"4,095.3",0.09,"3,946",0.09,"3,393","179,577",85.99%,319.0,"$996,698","$15,821",$617,W 156TH ST,BROADWAY,AMSTERDAM AVE,,MANHATTAN,12,13,31,71,10,1987-11-30T00:00:00.000,,,YES,,11/30/2020,,0.0
2024.0,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013090,523,309,756,341,NY005284B,FEDERAL,TURNKEY,REHAB,,87,88.0,386.5,4.44,0,176,176.0,31,0.0036,7.0,0.0,7.0,5,"25,768.4",0.59,"25,086",0.58,"18,156","1,113,273",72.38%,298.0,"$6,178,887","$15,823",$532,W 163RD ST,W 164TH ST,W 165TH ST,AMSTERDAM AVE,MANHATTAN,12,13,31,72,10,1987-11-30T00:00:00.000,,,YES,,11/30/2020,,0.0
2024.0,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013090,293,309,563,341,NY005221,FEDERAL,CONVENTIONAL,REHAB,,214,216.0,909.0,4.25,0,405,405.0,103,0.0048,5.0,0.0,6.0,5-6,"58,931.4",1.35,"57,544",1.32,"40,754","2,421,442",70.82%,299.0,"$22,610,848","$24,631",$466,W 176TH ST,AMSTERDAM AVE,W 177TH ST,AUDUBON AVE,MANHATTAN,12,13,31,72,10,1988-05-01T00:00:00.000,,,YES,,11/30/2020,,0.0
2024.0,WASHINGTON,Unknown,6.0,17.31,41.0,14.0,5.0,0.0,0.0,9.0,0.0,41.0,1/1/2025,NY005010620,062,062,217,217,NY005014,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,511",1515.0,"7,033.5",4.65,0,"3,122",3122.0,652,0.4475,14.0,1.0,14.0,2—12–14,"868,788.3",19.94,"822,228",18.88,"124,916","12,618,161",13.77%,157.0,"$23,677,092","$3,357",$642,E 104TH ST,SECOND AVE,E 97TH ST,THIRD AVE,MANHATTAN,11,13,29,68,08,1957-09-20T00:00:00.000,,,,,,MANHATTAN,0.01313260730301089
2024.0,WALD,Unknown,8.0,30.13,33.0,6.0,0.0,0.0,0.0,8.0,0.0,33.0,1/1/2025,NY005000230,023,023,511,511,NY005213C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,855",1861.0,"8,738.5",4.71,0,"3,527",3527.0,885,0.4961,16.0,2.0,16.0,11–14,"704,010.1",16.16,"694,013",15.93,"133,117","14,691,881",18.56%,218.0,"$22,094,000","$2,561",$631,FDR DRIVE,AVENUE D,E 6TH ST,E HOUSTON ST,MANHATTAN,3,10,27,"65, 74",02,1949-10-14T00:00:00.000,1977/07/01-ATP 1,,,,,MANHATTAN,0.009356393535582649
2024.0,WAGNER,Unknown,14.0,21.44,37.0,11.0,0.0,0.0,0.0,8.0,0.0,37.0,1/1/2025,NY005010740,074,074,224,224,NY005024,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,145",2162.0,"10,038.5",4.68,0,"4,176",4176.0,884,0.4306,22.0,1.0,22.0,7–16,"1,101,834.0",25.29,"1,083,783",24.88,"150,639","16,837,094",12.85%,165.0,"$32,794,423","$3,238",$630,E 120TH ST,SECOND AVE,E 124TH ST,FDR DRIVE,MANHATTAN,11,13,29,68,08,1958-06-12T00:00:00.000,,,,,,MANHATTAN,0.008860153256704981
2024.0,VLADECK II,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005010060,007,006,371,204,NY005181B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,240,240.0,"1,080.0",4.5,0,465,465.0,108,0.4737,4.0,0.0,8.0,6,"98,061.0",2.25,"96,933",2.23,"28,827","1,766,160",29.74%,207.0,"$1,269,490","$1,175",$607,MADISON ST,CHERRY ST,JACKSON ST,,MANHATTAN,3,10,27,65,01,1940-10-25T00:00:00.000,1972/06/29-FED TRAN,,,,,MANHATTAN,0.0
2024.0,VLADECK,Unknown,0.0,17.31,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1/1/2025,NY005010060,006,006,204,204,NY005003,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,524",1531.0,"6,239.0",4.09,0,"2,614",2614.0,741,0.5175,20.0,0.0,46.0,6,"571,962.5",13.13,"519,124",11.92,"171,144","10,617,265",30.22%,199.0,"$7,994,564","$1,276",$601,HENRY ST,WATER ST,GOUVERNEUR ST,JACKSON ST,MANHATTAN,3,10,27,65,01,1940-11-25T00:00:00.000,,,,,,MANHATTAN,0.009946442234123947
2024.0,VANDALIA AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011940,315,315,273,273,NY005243,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,286,293.0,"1,029.0",3.6,0,321,321.0,259,0.912,2.0,1.0,2.0,10,"160,564.8",3.69,"256,217",5.88,"33,868","2,315,113",13.22%,87.0,"$20,511,981","$19,480",$455,LOUISIANA AVE,VANDALIA AVE,GEORGIA AVE,FLATLANDS AVE,BROOKLYN,5,08,19,60,42,1983-05-31T00:00:00.000,,EXCLUSIVELY,YES,,,BROOKLYN,0.0
2024.0,VAN DYKE II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011680,146,182,257,257,NY005055,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,111,112.0,413.5,3.73,0,125,125.0,94,0.8952,1.0,0.0,1.0,14,"53,653.8",1.23,"40,574",0.93,"9,017","845,622",22.22%,101.0,"$2,318,317","$5,546",$390,DUMONT AVE,POWELL ST,,,BROOKLYN,16,08,25,55,41,1964-04-30T00:00:00.000,,EXCLUSIVELY,,,,BROOKLYN,0.0
2024.0,VAN DYKE I,Unknown,17.0,20.77,43.0,26.0,0.0,0.0,0.0,7.0,0.0,43.0,1/1/2025,NY005000610,061,061,216,216,NY005013,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,599",1603.0,"7,380.5",4.62,0,"3,294",3294.0,517,0.3438,22.0,1.0,31.0,3–14,"928,338.0",21.31,"844,628",19.39,"161,168","13,652,083",16.56%,155.0,"$21,351,730","$2,884",$666,SUTTER AVE,POWELL ST,LIVONIA AVE,MOTHER GASTON BLVD,BROOKLYN,16,08,25,55,41,1955-05-27T00:00:00.000,,,,,,BROOKLYN,0.013054037644201578
2024.0,UPACA (SITE 6),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005012410,355,241,760,760,NY005281,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,150,150.0,525.0,3.5,0,148,148.0,118,0.9365,1.0,0.0,1.0,12,"46,262.8",1.06,"45,362",1.04,"10,330","1,041,895",22.77%,139.0,"$10,240,710","$19,506",$374,E 119TH ST,PARK AVE,E 122ND ST,LEXINGTON AVE,MANHATTAN,11,13,30,68,09,1987-11-30T00:00:00.000,,EXCLUSIVELY,YES,,,,0.0
2024.0,UPACA (SITE 5),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005012410,343,241,757,760,NY005254,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,180,200.0,630.0,3.5,0,183,183.0,128,0.8649,1.0,0.0,1.0,11,"64,880.6",1.49,"63,577",1.46,"14,325","1,434,170",22.53%,123.0,"$13,369,245","$19,099",$383,E 121ST ST,LEXINGTON AVE,E 120TH ST,PARK AVE,MANHATTAN,11,13,30,68,09,1986-07-03T00:00:00.000,,EXCLUSIVELY,YES,,,,0.0
2024.0,UNIVERSITY AVENUE REHAB,Unknown,0.0,17.69,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1/1/2025,NY005013410,341,341,762,762,NY005283,FEDERAL,TURNKEY,REHAB,0.0,230,230.0,"1,034.0",4.5,0,446,446.0,105,0.4817,4.0,0.0,5.0,6,"80,357.6",1.84,"77,898",1.79,"43,696","2,798,894",56.09%,242.0,"$15,900,000","$15,377",$578,W BURNSIDE AVE,UNIVERSITY AVE,W TREMONT AVE,ANDREWS AVE,BRONX,5,13,31,86,14,1985-01-31T00:00:00.000,,,YES,YES,06/24/2025,,0.011210762331838564
2024.0,UNITY PLAZA (SITES 4-27),Unknown,0.0,17.11,11.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,1/1/2025,NY005012610,261,261,318,375,NY005117,FEDERAL,CONVENTIONAL,NEW CONST,0.0,460,462.0,"2,139.0",4.65,0,907,907.0,157,0.3829,5.0,0.0,13.0,6,"248,878.5",5.71,"249,250",5.72,"89,543","5,304,133",35.92%,159.0,"$16,798,483","$7,813",$676,BLAKE ST,SHEFFIELD AVE,DUMONT AVE,HINSDALE ST,BROOKLYN,5,08,19,60,42,1973-09-30T00:00:00.000,,,,,,BROOKLYN,0.012127894156560088
2024.0,"UNITY PLAZA (SITES 17,24,25A)",Unknown,0.0,41.45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1/1/2025,NY005012610,240,261,348,375,NY005169,FEDERAL,TURNKEY,NEW CONST,0.0,167,167.0,768.5,4.6,0,383,383.0,51,0.34,3.0,0.0,3.0,6,"81,737.8",1.88,"80,525",1.85,"27,159","2,001,480",33.73%,204.0,"$5,191,821","$6,699",$700,SUTTER AVE,BLAKE AVE,SHEFFIELD AVE,ALABAMA AVE,BROOKLYN,5,08,19,60,42,1973-11-30T00:00:00.000,,,,,,BROOKLYN,0.013054830287206266
2024.0,UNION AVENUE-EAST 166TH STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005013420,356,342,768,753,NY005291,FEDERAL,TURNKEY,NEW CONST,,118,120.0,532.0,4.51,0,253,253.0,39,0.0033,6.0,0.0,20.0,3,"100,370.2",2.3,"98,707",2.27,"38,943","1,022,257",39.45%,110.0,"$9,239,549","$17,142",$604,E 166TH ST,PROSPECT AVE,HOME ST,UNION AVE,BRONX,3,15,32,79,17,1988-09-01T00:00:00.000,,,YES,,09/28/2023,,0.0
